acl 2.3.1-1
ros-noetic-gennodejs 2.0.1-1
ros-noetic-genpy 0.6.10-1
ros-noetic-geometry-msgs 1.13.0-1
ros-noetic-message-generation 0.4.1-2
ros-noetic-message-runtime 0.4.13-1
ros-noetic-rosbuild 1.15.2-1
ros-noetic-rosconsole 1.14.1-1
ros-noetic-roscpp 1.15.9-1
ros-noetic-roscpp-serialization 0.7.1-1
ros-noetic-roscpp-traits 0.7.1-1
ros-noetic-rosgraph-msgs 1.11.3-1
ros-noetic-rostime 0.7.1-2
ros-noetic-sensor-msgs 1.13.0-1
ros-noetic-std-msgs 0.5.13-1
ros-noetic-xmlrpcpp 1.15.8-1
rstudio-desktop-bin 1.4.1103-1
rtkit 0.13-1
rubberband 1.9.1-1
ruby 2.7.2-1
ruby-build 20210309-1
ruby-irb 1.3.4-1
ruby-reline 0.2.4-1
rubygems 3.2.13-1
run-parts 4.8.6.1-2
sbc 1.5-2
scour 0.38.2-1
scrot 1.5-1
sdl 1.2.15-14
sdl2 2.0.14-1
sed 4.8-1
semver 7.3.5-2
serd 0.30.10-1
shaderc 2020.5-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
simplescreenrecorder 0.4.3-1
slang 2.3.2-2
snappy 1.1.8-2
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.2-1
source-highlight 3.1.9-4
spdlog 1.8.5-1
speex 1.2.0-3
speexdsp 1.2.0-2
spicetify-cli 1.2.1-1
spirv-tools 2020.7-1
spotify 1:1.1.42.622-2
spotify-adblock-git r81.82c0bf4-1
sqlite 3.35.2-2
sratom 0.6.8-1
srt 1.4.2-1
startup-notification 0.12-7
steam 1.0.0.70-1
sudo 1.9.6.p1-1
suil 0.10.10-1
svt-av1 0.8.6-2
sxhkd 0.6.2-1
sxiv 26-1
sysfsutils 2.1.1-1
systemd 247.4-2
systemd-libs 247.4-2
systemd-sysvcompat 247.4-2
t1lib 5.1.2-8
tar 1.34-1
tcl 8.6.11-1
tdb 1.4.3-4
terminator 2.1.0-2
texinfo 6.7-3
texlive-bibtexextra 2020.56991-1
texlive-bin 2020.54586-11
texlive-core 2020.57066-1
texlive-fontsextra 2020.57042-1
texlive-formatsextra 2020.56699-1
texlive-games 2020.56833-1
texlive-humanities 2020.57034-1
texlive-latexextra 2020.57067-1
texlive-music 2020.56473-1
texlive-pictures 2020.57065-1
texlive-pstricks 2020.56758-1
texlive-publishers 2020.57058-1
texlive-science 2020.57068-1
thin-provisioning-tools 0.9.0-1
thunar 4.16.6-1
thunar-volman 4.16.0-1
tk 8.6.11.1-1
tlp 1.3.1-2
tmux 3.1_c-1
tracker3 3.0.3-1
tslib 1.22-1
ttf-anonymous-pro 1.003-5
ttf-baekmuk 2.2-13
ttf-bitstream-vera 1.10-14
ttf-caladea 20200113-2
ttf-carlito 20130920-5
ttf-croscore 20201226-1
ttf-dejavu 2.37+18+g9b5d1b2f-2
ttf-droid 20121017-9
ttf-font-awesome 5.15.3-1
ttf-font-awesome-4 4.7.0-5
ttf-hannom 2005-6
ttf-ibm-plex 5.1.3-1
ttf-indic-otf 0.2-11
ttf-joypixels 6.5.0-1
ttf-khmer 5.0-7
ttf-liberation 2.1.3-1
ttf-linux-libertine 5.3.0-6
ttf-nerd-fonts-symbols 2.1.0+36+gd0bf73a1-2
ttf-proggy-clean 1.1.5-2
ttf-sazanami 20040629-11
ttf-symbola 13.00-8
ttf-twemoji 13.0.2-1
ttf-twemoji-color 13.0.1-1
tumbler 4.16.0-2
twolame 0.4.0-2
tzdata 2021a-1
uchardet 0.0.7-1
unibilium 2.1.0-2
unrar 1:6.0.4-1
unzip 6.0-14
upower 0.99.11-3
usbmuxd 1.1.1-1
usbutils 013-1
util-linux 2.36.2-1
util-linux-libs 2.36.2-1
v4l-utils 1.20.0-1
valgrind 3.16.1-4
vamp-plugin-sdk 2.10.0-1
vi 1:070224-4
vid.stab 1.1-3
vim 8.2.2489-1
vim-runtime 8.2.2489-1
vmaf 1.5.3-1
vte-common 0.62.3-1
vte3 0.62.3-1
vulkan-icd-loader 1.2.172-1
wayland 1.19.0-1
wayland-protocols 1.20-1
webkit2gtk 2.32.0-1
webrtc-audio-processing 0.3.1-2
wget 1.21.1-1
which 2.21-5
woff2 1.0.2-3
wpa_supplicant 2:2.9-8
wpebackend-fdo 1.8.3-1
wxgtk-common 3.0.5.1-2
wxgtk3 3.0.5.1-2
x264 3:0.160.r3011.cde9a93-1
x265 3.4-1
xapp 2.0.7-1
xcb-proto 1.14.1-3
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xclip 0.13-3
xdg-dbus-proxy 0.1.2-2
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 0.30.0-1
xf86-video-vesa 2.5.0-1
xfce4-appfinder 4.16.1-1
xfce4-notifyd 0.6.2-2
xfce4-panel 4.16.2-1
xfce4-power-manager 4.16.0-2
xfce4-session 4.16.0-1
xfce4-settings 4.16.0-1
xfce4-terminal 0.8.10-1
xfconf 4.16.0-1
xfdesktop 4.16.0-1
xfwm4 4.16.1-1
xfwm4-themes 4.10.0-4
xkeyboard-config 2.32-1
xorg-bdftopcf 1.1-2
xorg-docs 1.7.1-3
xorg-font-util 1.3.2-2
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-alias-100dpi 1.0.4-1
xorg-fonts-alias-75dpi 1.0.4-1
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.8-2
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.10-3
xorg-server-common 1.20.10-3
xorg-server-devel 1.20.11-1
xorg-server-xephyr 1.20.10-3
xorg-server-xnest 1.20.10-3
xorg-server-xvfb 1.20.10-3
xorg-sessreg 1.1.2-2
xorg-setxkbmap 1.3.2-2
xorg-smproxy 1.0.6-3
xorg-util-macros 1.19.3-1
xorg-x11perf 1.6.1-2
xorg-xauth 1.1-2
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.5-1
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmodmap 1.0.10-2
xorg-xpr 1.0.5-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.0-2
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-2
xorg-xwayland 21.1.0-1
xorg-xwd 1.0.7-2
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xorgproto 2021.3-1
xvidcore 1.3.7-2
xz 5.2.5-1
yajl 2.1.0-4
yaml-cpp 0.6.3-2
yay 10.1.2-2
zathura 0.4.7-1
zathura-pdf-mupdf 0.3.6-5
zenity 3.32.0+55+gd7bedff-1
zeromq 4.3.3-2
zimg 3.0.1-2
zip 3.0-9
zita-alsa-pcmi 0.3.2-3
zita-resampler 1.8.0-1
zlib 1:1.2.11-4
zopfli 1.0.3-2
zsh 5.8-1
zsh-autosuggestions 0.6.4-1
zsh-completions 0.32.0-1
zsh-syntax-highlighting 0.7.1-1
zstd 1.4.9-1
zziplib 0.13.72-1
